Sector,October,November,December,January,February,March,April,May,June,July,August,September
Big Bend,697.000,603.000,477.000,473.000,383.000,357.000,413.000,552.000,378.000,492.000,563.000,614.000
Del Rio,2106.000,1880.000,1817.000,1243.000,1104.000,746.000,589.000,740.000,761.000,760.000,798.000,932.000
El Centro,2441.000,1850.000,1870.000,1796.000,1196.000,871.000,849.000,1134.000,1280.000,1478.000,1880.000,1988.000
El Paso,3973.000,4105.000,3948.000,2779.000,1575.000,978.000,906.000,1032.000,1180.000,1395.000,1782.000,1540.000
Laredo,3350.000,3194.000,2460.000,2265.000,1710.000,1256.000,1304.000,1722.000,1839.000,2120.000,2143.000,2097.000
Rio Grande Valley,22642.000,24686.000,23418.000,15580.000,7855.000,4147.000,3942.000,4882.000,5817.000,7107.000,8650.000,8836.000
San Diego,2934.000,2947.000,3099.000,2927.000,1808.000,1356.000,1392.000,1724.000,1652.000,1764.000,2241.000,2242.000
Tucson,5924.000,5912.000,4303.000,3357.000,2589.000,2148.000,1487.000,2199.000,2632.000,2177.000,2913.000,3016.000
Yuma,2117.000,2034.000,1859.000,1156.000,534.000,336.000,245.000,534.000,548.000,894.000,1318.000,1272.000
